,turnover,satisfaction,evaluation,projectCount,averageMonthlyHours,yearsAtCompany,workAccident,promotion,department,salary
0,1.0,0.38,0.53,2,157.0,3,0,0,sales,low
2,1.0,0.11,0.88,7,272.0,4,0,0,sales,medium
3,1.0,0.72,0.87,5,223.0,5,0,0,sales,low
4,1.0,0.37,0.52,2,159.0,3,0,0,sales,low
5,1.0,0.41,0.5,2,153.0,3,0,0,sales,low
6,1.0,0.1,0.77,6,247.0,4,0,0,sales,low
7,1.0,0.92,0.85,5,259.0,5,0,0,sales,low
8,1.0,0.89,1.0,5,224.0,5,0,0,sales,low
9,1.0,0.42,0.53,2,142.0,3,0,0,sales,low
10,1.0,0.6128443792505677,0.54,2,135.0,3,0,0,sales,low
11,1.0,0.11,0.81,6,305.0,4,0,0,sales,low
12,1.0,0.84,0.92,4,234.0,5,0,0,sales,low
13,1.0,0.41,0.55,2,148.0,3,0,0,sales,low
14,1.0,0.36,0.56,2,137.0,3,0,0,sales,low
15,1.0,0.38,0.54,2,143.0,3,0,0,sales,low
16,1.0,0.45,0.47,2,160.0,3,0,0,sales,low
17,1.0,0.78,0.99,4,255.0,6,0,0,sales,low
18,1.0,0.45,0.51,2,160.0,3,1,1,sales,low
19,1.0,0.76,0.89,5,262.0,5,0,0,sales,low
20,1.0,0.11,0.83,6,282.0,4,0,0,sales,low
21,1.0,0.38,0.55,2,147.0,3,0,0,sales,low
22,1.0,0.09,0.95,6,304.0,4,0,0,sales,low
23,1.0,0.46,0.57,2,139.0,3,0,0,sales,low
24,1.0,0.4,0.53,2,158.0,3,0,0,sales,low
25,1.0,0.89,0.92,5,242.0,5,0,0,sales,low
26,1.0,0.82,0.87,4,239.0,5,0,0,sales,low
27,1.0,0.4,0.49,2,135.0,3,0,0,sales,low
28,1.0,0.41,0.46,2,128.0,3,0,0,accounting,low
29,1.0,0.38,0.5,2,132.0,3,0,0,accounting,low
30,1.0,0.09,0.62,6,294.0,4,0,0,accounting,low
31,1.0,0.45,0.57,2,134.0,3,0,0,hr,low
32,1.0,0.4,0.51,2,145.0,3,0,0,hr,low
33,1.0,0.45,0.55,2,140.0,3,0,0,hr,low
34,1.0,0.84,0.87,4,246.0,6,0,0,hr,low
